"question","answer","Questions","Answers","questions","answers"
"","","","","After implementation of GST, will EOU scheme continue or not?","The window to declare transition credit forms is three months from the appointed day. Please refer to transition rules for more details."
"","","","","I was unregistered in excise before and now in 18% slab? Can I take credit of stock if I don’t have invoices?","GST has no special dispensation for EOUs. As to whether they exist for any other purpose may be seen from the FTP."
"","","","","I enjoyed SSI Exemption in Excise and did not register; how do I now take credit of stock lying with me?","Deemed credit will be available to you for stock as duty paying documents are not available, subject to provisions of section 140 (3) of the CGST Act, 2017 read with Rule 140(4) of CGST Rules, 2017."
"","","","","For textile trader or manufacturers, with input stock without payment of excise duty but GST being charged on final sale, shall we get credit of such stock?","Credit may be availed on the basis of document evidencing payment of duty on inputs as per section 140(3) of the CGST Act, 2017 read with Rule 140(4) of CGST Rules, 2017."
"","","","","Can a spice manufacturer take ITC of central excise paid on packing material lying in stock as on 30/06/17?","Credit of stock which was unconditionally exempt from excise duty or was NIL rated shall not be available. Please see Rule 117(4) of the CGST Rules, 2017."
"","","","","I made booking for hotel for a trip in October. Invoice raised already. Would I need to pay GST if payment will be done on 15 July?","If he has duty paying documents then he will get full credit of central excise duty paid on stock held by him."
"","","","","If rent received in advance before appointed day and person not liable to service tax then does RCM liability arise?","If the invoice has been raised and payment made before the 1st of July 2017 then GST will not be applicable."
"","","","","Is there any format for invoice under GST? If yes, please provide the link of the same.","The liability of RCM under GST will arise only after 1st of July 2017."
"","","","","Whether from 1st July sequence of invoice no. will change? Or can we follow the same sequence?","No there is no particular format. Rule 46 of the CGST Rules, 2017 prescribes the particulars to be contained in Invoice."
"","","","","Whether existing UT-1, Bond will suffice? Whether existing ARE 1 form will exist?","Same sequence can be followed provided conditions laid down in Section 31 of the CGST Act, 2017 read with Rule 46 of CGST Rules, 2017 are met."
"","","","","Can we get ITC for capital expenditures like vehicles, solar panels etc for company use?","Circular No. 4/4/2017-GST dated 07.07.2017 has clarified that the existing Bonds/LUTs shall be valid till 31.07.2017 after which the Bonds/LUTs shall have to be executed in the newly prescribed formats. New formats of bond and LUT have been prescribed under Rule 96A of CGST Rules, 2017. ARE-1 procedure is being dispensed with except in respect to commodities which continue to attract Central Excise duty."
"","","","","If my turnover is less than 1.5 crores, do I need to mention HSN code on my invoice?","ITC on capital goods is generally available if they are used in the course or furtherance of business. However, credit is not available on cars, unless you are in a business of imparting driving training, or supplying such cars. A list of item on which ITC is not available is provided in Section 17 of the CGST Act, 2017."
"","","","","We are Excise registered dealers and have stock older than 1 year for which Excise is paid. Will we get Input tax credit?","Specifying HSN code on invoice is optional for taxpayers having turnover upto 1.5 crores."
"","","","","I was unregistered earlier. Now I want to register under composition scheme. Can I take ITC of my duty paid stock?","You will be entitled to carry forward closing balance of CENVAT credit shown in your last return filed under Central Excise Act."
"","","","","I have Excise registration. I now want to migrate using composition scheme. What is to be the treatment of ITC?","No, a person registering under the composition scheme cannot take ITC on inputs."
"","","","","I paid for a service in June 2017 but am likely to receive the service in August 2017. Can I avail ITC for the same?","Not eligible for ITC under composition scheme. Your ITC lying in balance will lapse."
"","","","","For taxpayers with centralized registration under Excise/ST, what is to be treatment of CENVAT after migration?","Credit on such inputs services will be allowed subject to satisfaction of conditions prescribed in Section 140 (5) of the CGST Act."
"","","","","Will there be GST in A&amp;N Islands as previously there was no VAT",""
"","","","","Whether IGST would be levied twice on high seas sales? First on high seas sales and second on custom clearance. IGST paid on 1 available as ITC?",""
"","","","","Will Krishi Mandi Fee (imposed in U.P.) be waived off in GST?","IGST shall be levied only once on imports."
"","","","","Is E-Way Bill applicable from 1st July 2017","GST does not concern such fee so GST does not affect it."
"","","","","Is there a sunset clause for Anti-Profiteering law?","The present system for E-way Bill in States to continue, till the E-Way Bill procedures are finalized."
"","","","","Which documents should be used in case of inter-state supply of goods until e-way bill rules are notified?","Yes, the sunset clause for Anti-profiteering Authority is of two years."
"","","","","If I use my credit card to pay utility bills, will I end up paying GST twice; once for the service and second time for the credit card bill?","The documents specified under Rule 48 of the CGST Rules, 2017 may please be referred. Triplicate copy of invoices for supply of goods and duplicate copy of invoice for supply of services may be used."
"","","","","We currently transport material on delivery challan and make a single bill at the end of the month. Can the same be done under GST?","No, GST is not leviable on the entire credit card bill; it is charged only on the fee/commission charged by the credit card company."
"","","","","Will service charge, as charged by some restaurants, be treated as consideration for a supply and hence considered liable for tax?","If on every instance you are making a supply then an invoice needs to be issued. For any other movement of goods other than supply (as specified in Rule 55 of CGST Rules, 2017), a delivery challan may be issued."
"","","","","What to do with stock lying with me on 1.07.2017. Do I need to charge GST?","There is no distinction between goods or services under GST. Service charge like any other supply will be leviable to GST. It is also clarified that service charge is not a statutory levy. It is not levied by the Government."
"","","","","I am a small manufacturer who supplies cycle parts to two manufacturing units in the same area. For every supply, I generate an invoice and take 500 Rs. flat for cartage and loading charges. What tax rate to be charged on the cartage and loading expenses?","Yes, you need to charge GST but you can use transition credit, if available on the said goods."
"","","","","I run a restaurant where I serve alcohol and provide food etc. How do I generate my invoices. What will attract GST and what will attract VAT?","This will be a composite supply where the principal supply (the goods) cannot be supplied without the cartage / unloading / transportation expenses. Therefore, the GST rate applicable will be the same as that of the principal supply, i.e, cycle parts, as provided under Section 8 of the CGST Act, 2017."
"","","","","In big bazaar, if I purchase some vegetables and one bottle of coke where one of them is exempt and the other is to be charged with 40% GST. Will I be charged 40% on the whole amount?","Since, you are providing both taxable and non-taxable supply. You will charge VAT on the non-taxable supply (which is alcohol for human consumption) and GST on all other taxable supplies."
"","","","","I am going to a jewelry shop and selling 10 gm gold and purchasing a 20 gm set in return. GST will be charged on 10 gm or 20 gm?","No, these are two independent supplies at two different prices, they will be charged at the GST rate applicable to them even if they are purchased on the same invoice."
"","","","","As a composition dealer, will I have to issue a self invoice if I purchase goods from an unregistered person?","The value to be charged on such transaction will be the open market value of the entire transaction as per Rule 27(a) of the CGST Rules, 2017. Therefore, GST be charged on entire 20 gm."
"","","","","Can I use my CGST/SGST credit to set off my IGST liability?","Yes, a composition dealer will issue a self invoice as he is required to pay GST. He will not be eligible for ITC also."
"","","","","Can tax paid in one state be used as ITC by the same firm in another state?","CGST credit can be first used to set off CGST liability. Whatever is left can be used to set off IGST liability. It cannot be used to set off SGST liability. Similarly, SGST credit can be used to set off SGST and IGST liability, in that order. It cannot be used to set off CGST liability. Please see Section 49 of the CGST Act, 2017."
"","","","","","No, if a firm is registered in more than one state, then each such registration will be treated as a separate registered person. Cross utilization of credit available with two different registered persons is not allowed."
"When can Form GSTR-3B be filed as a Nil return?","Form GSTR-3B can be filed as a nil return if there are no outward supplies as well as no liability (including reverse charge liability and ITC claims) for the tax period being filed. It can be filed in both online and offline modes such as by SMS on the GST Portal once eligibility conditions are met. ","","","",""
"Who can file a Nil Form GSTR-3B for a tax period?","A Nil Form GSTR-3B can be filed if the taxpayer has not made any outward supplies, does not have reverse charge liability, is not taking any input tax credit, and has no liabilities (including prior period liabilities) for that tax period. ","","","",""
"By when can a Nil Form GSTR-3B be filed?","A taxpayer may file a Nil Form GSTR-3B anytime on or after the 1st of the month following the tax period for which the return is being filed; for example, for April, a Nil return can be filed on or after 1st May. ","","","",""
"Can Nil GSTR-3B be filed through SMS?","Yes; Nil Form GSTR-3B may also be filed through SMS by sending the appropriate SMS request and confirmation codes from an authorized signatory’s registered mobile number, provided eligibility criteria are met. ","","","",""
"What is the QRMP Scheme under GST?","The Quarterly Returns with Monthly Payment (QRMP) Scheme allows eligible taxpayers to file Form GSTR-1 and Form GSTR-3B on a quarterly basis while paying their GST tax liabilities on a monthly basis via a challan. ","","","",""
"Who is eligible to opt for the QRMP Scheme?","A taxpayer eligible for the QRMP Scheme must be registered as a normal taxpayer, SEZ unit, or SEZ developer, not under composition scheme, and must have an annual aggregate turnover up to ₹5 crore in the current and preceding financial year. ","","","",""
"What are the pre-conditions to opt for the QRMP scheme?","To opt for QRMP, the taxpayer must be a regular taxpayer with valid GST Portal credentials, have annual aggregate turnover up to ₹5 crore, and the latest GSTR-3B must have been filed. ","","","",""
"Can I opt out of the QRMP scheme after choosing it?","Yes; taxpayers can opt out of the QRMP scheme; if they do so, they must file both GSTR-1 and GSTR-3B on a monthly basis instead of quarterly. ","","","",""
"Does opting for QRMP scheme change filing frequencies of GSTR-1 and GSTR-3B?","Yes; when a taxpayer opts for QRMP Scheme, both GSTR-1 and GSTR-3B must be filed at quarterly frequencies, while payment of tax dues must still be made on a monthly basis. ","","","",""
"Is filing Form GSTR-1 mandatory?","Form GSTR-1 must be filed even if there is no business activity (Nil Return) in the tax period. Registered taxpayers (other than exempted categories) are required to file it for every filing period.","","","",""
"Who is not required to file Form GSTR-1?","The following taxpayers are not required to file Form GSTR-1: Composition Scheme taxpayers, Non-resident foreign taxpayers, Online information and database access retrieval service providers, Input Service Distributors (ISD), TDS deductors, and E-commerce operators collecting TCS.","","","",""
"What are the available modes of preparing Form GSTR-1?","Form GSTR-1 can be prepared online on the GST Portal, via uploading data using the Returns Offline Tool, or through a third-party application via GST Suvidha Providers (GSPs).","","","",""
"What details must be furnished in Form GSTR-1?","Details required in Form GSTR-1 include invoice-level data of supplies to registered persons (including UIN holders), inter-state supplies to unregistered persons above specified value, credit/debit notes, and export details for the tax period.","","","",""
"What is the due date for filing Form GSTR-1?","The due date for filing Form GSTR-1 is usually the 11th day of the succeeding month for monthly filers, and the last day of the month succeeding the quarter for quarterly filers, unless extended by government notification.","","","",""
"Can a taxpayer file Form GSTR-1 early before the end of the tax period?","Generally, a taxpayer cannot file Form GSTR-1 before the end of the current tax period. An exception exists for casual taxpayers after closure of their business, who may file early.","","","",""
"Can data from e-invoices be auto-populated into Form GSTR-1?","Yes; data gets auto-populated from e-invoices into Form GSTR-1 in tables like B2B and export invoices based on unique IRN and QR code details from the Invoice Registration Portal (IRP).","","","",""
"Can a taxpayer edit details that get auto-populated from e-invoices in Form GSTR-1?","Yes; taxpayers can edit auto-populated e-invoice details in Form GSTR-1 by accessing the invoice entry, making changes, and saving the updates. The Source, IRN, and IRN Date fields may be reset after edits.","","","",""
"What communications are received after successful filing of Form GSTR-1?","After successful filing of Form GSTR-1, an Application Reference Number (ARN) is generated; the taxpayer also receives an SMS and email confirmation on the registered mobile number and email ID of the primary authorised signatory.","","","",""
"Can Form GSTR-1 be filed using SMS?","Yes; Nil Form GSTR-1 can be filed through SMS in a prescribed format provided eligibility criteria are met, including having a valid GSTIN, filing frequency set on the portal, and no saved data for the tax period on the portal.","","","",""
"Is filing Form GSTR-1 mandatory?","Yes, Form GSTR-1 must be filed for every tax period even if there is no business activity, in which case a Nil return is required.","","","",""
"Who is required to file Form GSTR-1?","All registered normal taxpayers making outward supplies are required to file Form GSTR-1 for reporting sales details.","","","",""
"Who is not required to file Form GSTR-1?","Composition taxpayers, Input Service Distributors (ISD), TDS deductors, TCS collectors, non-resident taxable persons, and OIDAR service providers are not required to file Form GSTR-1.","","","",""
"What is Form GSTR-1 used for?","Form GSTR-1 is used to report details of outward supplies such as sales invoices, debit notes, credit notes, and exports for a tax period.","","","",""
"What is the due date for filing Form GSTR-1?","For monthly filers, the due date is generally the 11th of the succeeding month, and for quarterly filers it is generally the last day of the month following the quarter, unless extended.","","","",""
"What are the modes available for preparing Form GSTR-1?","Form GSTR-1 can be prepared online on the GST Portal, using the Offline Tool, or through third-party applications integrated with GST systems.","","","",""
"What details are required to be furnished in Form GSTR-1?","Taxpayers must furnish invoice-wise outward supply details, supplies to registered persons, exports, advances received, and debit/credit notes issued during the period.","","","",""
"Can a taxpayer file Form GSTR-1 before the end of the tax period?","Normally, GSTR-1 cannot be filed before the end of the tax period, except in special cases such as casual taxpayers after closure of business.","","","",""
"Can e-invoice data be auto-populated into Form GSTR-1?","Yes, details from e-invoices are auto-populated into relevant tables of Form GSTR-1 based on IRN generation.","","","",""
"Can auto-populated e-invoice details in Form GSTR-1 be edited?","Yes, taxpayers can edit auto-populated invoice details, but certain system-generated fields like IRN details may be reset after editing.","","","",""
"What confirmation is received after filing Form GSTR-1?","After successful filing, an ARN is generated and confirmation is sent to the registered email ID and mobile number of the authorised signatory.","","","",""
"Can Nil Form GSTR-1 be filed through SMS?","Yes, Nil Form GSTR-1 can be filed through SMS if the taxpayer has no outward supplies and no saved data for that tax period on the portal.","","","",""
"What is the Invoice Furnishing Facility (IFF) under GST?","IFF is an optional facility for quarterly GSTR-1 filers to upload B2B invoices for the first two months of the quarter so that recipients can claim ITC earlier.","","","",""
"Who can use the Invoice Furnishing Facility (IFF)?","Taxpayers registered under the QRMP scheme who file GSTR-1 quarterly can use IFF.","","","",""
"Is filing through IFF mandatory?","No, IFF is completely optional for QRMP taxpayers.","","","",""
"What is the main benefit of using IFF?","It allows recipients to view invoices in their GSTR-2B earlier and claim ITC without waiting for quarterly GSTR-1 filing.","","","",""
"For which months can invoices be uploaded through IFF?","Invoices can be uploaded only for the first two months of the quarter, not for the third month.","","","",""
"What is the due date for filing IFF?","IFF must be filed by the 13th of the succeeding month for the first two months of the quarter.","","","",""
"Is there any limit on invoices that can be uploaded through IFF?","Yes, invoices up to a value of Rs. 50 lakh per month can be uploaded through IFF.","","","",""
"Can B2C invoices be uploaded through IFF?","No, IFF is meant only for B2B invoices and credit/debit notes issued to registered persons.","","","",""
"What happens if invoices are not uploaded through IFF?","They can still be reported in the quarterly GSTR-1, but the recipient will get ITC visibility only after quarterly filing.","","","",""
"What is GSTR-2B?","GSTR-2B is a static auto-drafted ITC statement generated for recipients showing eligible and ineligible input tax credit available for a period.","","","",""
"How is GSTR-2B different from GSTR-2A?","GSTR-2A is dynamic and changes with supplier filings, while GSTR-2B is static for a tax period and does not change once generated.","","","",""
"When is GSTR-2B generated?","GSTR-2B is generated monthly after the due date of supplier filings, generally around the 14th of the succeeding month.","","","",""
"Why is GSTR-2B important for ITC claim?","ITC should be claimed based on invoices reflected in GSTR-2B as per GST compliance and matching requirements.","","","",""
"Can ITC be claimed if invoice is not appearing in GSTR-2B?","Generally, ITC should not be claimed unless the invoice is reflected in GSTR-2B, as it indicates supplier has furnished the details.","","","",""
"What documents are reflected in GSTR-2B?","It includes invoices, debit notes, credit notes, ISD credit, and import-related ITC details.","","","",""
"What is ITC matching under GST?","ITC matching means ensuring that the recipient’s ITC claim aligns with supplier-reported invoices in GSTR-1 and reflected in GSTR-2B.","","","",""
"What are common reasons for ITC mismatch?","Supplier not filing GSTR-1, incorrect GSTIN, wrong invoice number, delayed reporting, or amendments in supplier returns.","","","",""
"What should a taxpayer do if ITC is missing in GSTR-2B?","The taxpayer should follow up with the supplier to upload the invoice correctly in GSTR-1 or IFF.","","","",""
"Can amendments in supplier invoices affect recipient ITC?","Yes, amendments or credit notes reported later can impact ITC availability and require reconciliation.","","","",""
"How often should ITC reconciliation be performed?","ITC reconciliation should ideally be done monthly between purchase register, GSTR-2B, and GSTR-3B to avoid mismatches and notices.","","","",""
"What is the Invoice Furnishing Facility (IFF) under GST?","IFF is an optional facility for quarterly GSTR-1 filers to upload B2B invoices for the first two months of the quarter so that recipients can claim ITC earlier.","","","",""
"Who can use the Invoice Furnishing Facility (IFF)?","Taxpayers registered under the QRMP scheme who file GSTR-1 quarterly can use IFF.","","","",""
"Is filing through IFF mandatory?","No, IFF is completely optional for QRMP taxpayers.","","","",""
"What is the main benefit of using IFF?","It allows recipients to view invoices in their GSTR-2B earlier and claim ITC without waiting for quarterly GSTR-1 filing.","","","",""
"For which months can invoices be uploaded through IFF?","Invoices can be uploaded only for the first two months of the quarter, not for the third month.","","","",""
"What is the due date for filing IFF?","IFF must be filed by the 13th of the succeeding month for the first two months of the quarter.","","","",""
"Is there any limit on invoices that can be uploaded through IFF?","Yes, invoices up to a value of Rs. 50 lakh per month can be uploaded through IFF.","","","",""
"Can B2C invoices be uploaded through IFF?","No, IFF is meant only for B2B invoices and credit or debit notes issued to registered persons.","","","",""
"What happens if invoices are not uploaded through IFF?","They can still be reported in the quarterly GSTR-1, but the recipient will get ITC visibility only after quarterly filing.","","","",""
"What is GSTR-2B?","GSTR-2B is a static auto-drafted ITC statement generated for recipients showing eligible and ineligible input tax credit available for a period.","","","",""
"How is GSTR-2B different from GSTR-2A?","GSTR-2A is dynamic and changes with supplier filings, while GSTR-2B is static for a tax period and does not change once generated.","","","",""
"When is GSTR-2B generated?","GSTR-2B is generated monthly after the due date of supplier filings, generally around the 14th of the succeeding month.","","","",""
"Why is GSTR-2B important for ITC claim?","ITC should be claimed based on invoices reflected in GSTR-2B as per GST compliance and matching requirements.","","","",""
"Can ITC be claimed if invoice is not appearing in GSTR-2B?","Generally, ITC should not be claimed unless the invoice is reflected in GSTR-2B, as it indicates supplier has furnished the details.","","","",""
"What documents are reflected in GSTR-2B?","It includes invoices, debit notes, credit notes, ISD credit, and import-related ITC details.","","","",""
"What is ITC matching under GST?","ITC matching means ensuring that the recipient’s ITC claim aligns with supplier-reported invoices in GSTR-1 and reflected in GSTR-2B.","","","",""
"What are common reasons for ITC mismatch?","Supplier not filing GSTR-1, incorrect GSTIN, wrong invoice number, delayed reporting, or amendments in supplier returns.","","","",""
"What should a taxpayer do if ITC is missing in GSTR-2B?","The taxpayer should follow up with the supplier to upload the invoice correctly in GSTR-1 or IFF.","","","",""
"Can amendments in supplier invoices affect recipient ITC?","Yes, amendments or credit notes reported later can impact ITC availability and require reconciliation.","","","",""
"How often should ITC reconciliation be performed?","ITC reconciliation should ideally be done monthly between purchase register, GSTR-2B, and GSTR-3B to avoid mismatches and notices.","","","",""
"What is GSTR-3B under GST?","GSTR-3B is a monthly self-declared summary return where taxpayers report outward supplies, inward supplies, ITC claimed, and tax payment details.","","","",""
"Who is required to file GSTR-3B?","All regular GST registered taxpayers are required to file GSTR-3B, unless specifically exempted.","","","",""
"Is GSTR-3B a detailed return?","No, GSTR-3B is a summary return and does not require invoice-level details.","","","",""
"What is the due date for filing GSTR-3B?","The due date is generally the 20th of the succeeding month, but it may vary for QRMP taxpayers or as notified.","","","",""
"What happens if GSTR-3B is filed late?","Late filing attracts late fees and interest on tax liability, and may block further return filing.","","","",""
"Can GSTR-3B be revised after filing?","No, GSTR-3B cannot be revised, but corrections can be made in subsequent returns.","","","",""
"What details are reported in GSTR-3B?","It includes outward taxable supplies, exempt supplies, ITC available, tax payable, and tax payment through cash or credit ledger.","","","",""
"What is the role of GSTR-3B in tax payment?","Tax liability is discharged through GSTR-3B by using ITC or cash payment.","","","",""
"What is the difference between GSTR-1 and GSTR-3B?","GSTR-1 contains invoice-level outward supply details, while GSTR-3B is a summary return for tax payment.","","","",""
"What is Input Tax Credit (ITC) in GST?","ITC is the credit of GST paid on purchases that can be used to offset GST liability on sales.","","","",""
"Can ITC be claimed without supplier filing GSTR-1?","ITC can generally be claimed only if invoices are reflected in GSTR-2B, meaning supplier has furnished details.","","","",""
"What is the maximum time limit to claim ITC?","ITC must be claimed before the due date of return filing for September of the following financial year or annual return filing, whichever is earlier.","","","",""
"What is reverse charge mechanism (RCM)?","RCM is a system where the recipient of goods or services pays GST instead of the supplier.","","","",""
"In which return is RCM liability reported?","RCM liability is reported and paid through GSTR-3B.","","","",""
"Can ITC be claimed on GST paid under RCM?","Yes, ITC can be claimed on GST paid under RCM, subject to eligibility conditions.","","","",""
"What is the electronic cash ledger in GST?","The electronic cash ledger is where taxpayers deposit cash to pay GST liabilities, interest, penalties, or fees.","","","",""
"What is the electronic credit ledger?","The electronic credit ledger reflects ITC available to offset GST output tax liability.","","","",""
"Can GST liability be paid fully through ITC?","GST liability can be paid through ITC except for certain components like interest, late fees, and penalties which must be paid in cash.","","","",""
"What is the late fee for delayed GSTR-3B filing?","Late fee is charged per day of delay subject to maximum limits as prescribed under GST law.","","","",""
"Why is filing GST returns regularly important?","Regular filing ensures compliance, avoids penalties, allows ITC flow, and prevents cancellation of GST registration.","","","",""
"What is a GST refund?","A GST refund is the amount returned to a taxpayer when excess tax has been paid or when eligible input tax credit is accumulated under GST provisions.","","","",""
"When can a taxpayer claim refund under GST?","Refund can be claimed in cases like excess tax payment, export of goods or services, inverted duty structure, or cancellation of registration.","","","",""
"What is refund of excess balance in electronic cash ledger?","It is a refund of unused cash deposited by the taxpayer in the electronic cash ledger after tax liabilities are discharged.","","","",""
"Can ITC balance be refunded directly?","ITC can be refunded only in specific cases like exports without payment of tax or inverted duty structure, not in normal domestic sales.","","","",""
"What is refund under inverted duty structure?","Refund under inverted duty structure arises when tax rate on inputs is higher than tax rate on outward supplies, leading to accumulation of ITC.","","","",""
"What is refund on account of exports?","Exporters can claim refund of unutilized ITC or IGST paid on exports, as exports are treated as zero-rated supplies.","","","",""
"What are zero-rated supplies under GST?","Zero-rated supplies include exports and supplies made to SEZ units or developers, where GST burden is removed through refund mechanism.","","","",""
"What is the time limit for filing GST refund application?","Refund application must generally be filed within 2 years from the relevant date as prescribed under GST law.","","","",""
"Which form is used to apply for refund under GST?","Refund application is filed in Form GST RFD-01 on the GST portal.","","","",""
"What is the role of Form GST RFD-02?","RFD-02 is an acknowledgement issued after successful filing of the refund application.","","","",""
"What is Form GST RFD-03?","RFD-03 is issued when the refund application is found deficient and requires resubmission after correction.","","","",""
"What is provisional refund under GST?","Provisional refund is a temporary refund granted, usually up to 90% in case of exporters, before detailed verification.","","","",""
"What is the maximum time limit for GST refund processing?","Refund should generally be processed within 60 days from the date of receipt of complete application.","","","",""
"What happens if refund is delayed beyond 60 days?","If refund is delayed, the taxpayer is entitled to interest on the refund amount as per GST provisions.","","","",""
"Can refund be withheld by the tax officer?","Yes, refund can be withheld in cases like pending proceedings, outstanding demand, or risk of revenue loss.","","","",""
"What documents are required for GST refund claim?","Documents may include invoices, shipping bills, BRC/FIRC for exports, declarations, and supporting statements as required.","","","",""
"Can a taxpayer claim refund for wrongly paid tax?","Yes, refund can be claimed if tax is paid under wrong head, such as CGST/SGST instead of IGST, subject to conditions.","","","",""
"What is refund of tax paid on deemed exports?","Deemed exports allow refund either to the supplier or recipient for supplies notified as deemed exports under GST rules.","","","",""
"Can refund be claimed after cancellation of GST registration?","Yes, refund of remaining balance in electronic cash ledger can be claimed after cancellation of registration.","","","",""
"Why is GST refund reconciliation important?","Refund claims require matching of returns, invoices, and ITC records, so reconciliation avoids rejection and departmental notices.","","","",""
"What is GST registration?","GST registration is the process by which a taxpayer gets registered under GST law and is assigned a unique GSTIN to collect and pay tax.","","","",""
"Who is required to take GST registration?","Any person whose aggregate turnover exceeds the prescribed threshold limit must register under GST, subject to conditions.","","","",""
"What is the threshold limit for GST registration?","The threshold is generally Rs. 40 lakh for goods and Rs. 20 lakh for services, but it varies for special category states.","","","",""
"Is GST registration mandatory for inter-state supply?","Yes, persons making inter-state taxable supply are generally required to register irrespective of turnover limit.","","","",""
"Is GST registration compulsory for e-commerce sellers?","Yes, sellers supplying through e-commerce operators are required to register under GST in most cases.","","","",""
"What is GSTIN?","GSTIN is a 15-digit Goods and Services Tax Identification Number issued to every registered taxpayer.","","","",""
"How is GSTIN structured?","GSTIN consists of state code, PAN, entity code, and a checksum digit.","","","",""
"What documents are required for GST registration?","PAN, Aadhaar, proof of business address, bank details, photograph, and authorization documents are generally required.","","","",""
"What is the process of applying for GST registration?","GST registration is applied online through Form GST REG-01 on the GST portal with required documents.","","","",""
"What is the time limit for GST registration approval?","If documents are correct, registration is usually granted within 7 working days, otherwise clarification may be sought.","","","",""
"What is Form GST REG-03?","REG-03 is a notice issued by the department seeking clarification or additional documents for registration.","","","",""
"What is Form GST REG-06?","REG-06 is the registration certificate issued after successful GST registration.","","","",""
"Can GST registration be cancelled?","Yes, GST registration can be cancelled either voluntarily by the taxpayer or by the department under prescribed conditions.","","","",""
"When can a taxpayer apply for voluntary cancellation of GST registration?","A taxpayer can apply for cancellation if business is discontinued, transferred, or no longer liable for registration.","","","",""
"What is Form GST REG-16?","REG-16 is the application form used for cancellation of GST registration by the taxpayer.","","","",""
"When can the department cancel GST registration?","The department may cancel registration for non-filing of returns, fraud, or violation of GST provisions.","","","",""
"What happens after GST registration is cancelled?","The taxpayer cannot collect GST, must file final return, and may need to pay tax on stock held at cancellation date.","","","",""
"What is the final return under GST?","Final return is filed in Form GSTR-10 after cancellation of GST registration.","","","",""
"Can cancelled GST registration be revoked?","Yes, cancellation can be revoked if taxpayer applies within prescribed time and complies with pending obligations.","","","",""
"Why is GST registration compliance important?","Proper registration ensures legal tax collection, ITC flow, avoidance of penalties, and smooth business operations.","","","",""
"What is an E-Way Bill under GST?","An E-Way Bill is an electronic document required for movement of goods worth more than the prescribed limit under GST law.","","","",""
"When is an E-Way Bill required?","It is required when goods of value exceeding Rs. 50,000 are transported for supply, job work, or reasons other than supply.","","","",""
"Who should generate the E-Way Bill?","The supplier, recipient, or transporter can generate the E-Way Bill depending on who is causing the movement of goods.","","","",""
"What is the threshold limit for mandatory E-Way Bill generation?","E-Way Bill is mandatory when consignment value exceeds Rs. 50,000, subject to state-specific rules.","","","",""
"Is E-Way Bill required for intra-state movement?","Yes, E-Way Bill may be required for intra-state movement depending on the state regulations and threshold.","","","",""
"Is E-Way Bill required for inter-state movement?","Yes, E-Way Bill is mandatory for inter-state movement of goods exceeding the threshold limit.","","","",""
"What details are included in an E-Way Bill?","It includes supplier details, recipient details, invoice number, goods description, value, and transporter information.","","","",""
"What are the main parts of an E-Way Bill?","E-Way Bill consists of Part A containing invoice details and Part B containing transporter and vehicle details.","","","",""
"Can E-Way Bill be generated without vehicle number?","Part A can be generated first, but Part B with vehicle number must be updated before goods movement.","","","",""
"What is the validity period of an E-Way Bill?","Validity depends on distance, generally one day for up to 200 km and additional days for every further 200 km.","","","",""
"Can an E-Way Bill be cancelled?","Yes, an E-Way Bill can be cancelled within 24 hours if goods are not transported or details are incorrect.","","","",""
"Can an E-Way Bill be edited after generation?","No, E-Way Bill cannot be edited, but vehicle details can be updated in Part B.","","","",""
"What is the consequence of transporting goods without an E-Way Bill?","Transport without E-Way Bill may lead to detention of goods, penalties, and tax demand under GST provisions.","","","",""
"Is E-Way Bill required for exempted goods?","No, E-Way Bill is generally not required for transport of exempted goods as notified.","","","",""
"Is E-Way Bill required for goods transported by non-motor vehicle?","No, E-Way Bill is not required when goods are transported by non-motorized conveyance like handcart.","","","",""
"What is the role of transporter in E-Way Bill generation?","Transporters generate or update Part B when suppliers or recipients have not generated the E-Way Bill.","","","",""
"Can multiple invoices be covered in one E-Way Bill?","No, each invoice generally requires a separate E-Way Bill, though consolidated E-Way Bill can be generated for transport.","","","",""
"What is a consolidated E-Way Bill?","A consolidated E-Way Bill is a document containing multiple E-Way Bills for goods transported in one vehicle.","","","",""
"What is the penalty for E-Way Bill non-compliance?","Penalty may include tax payable plus penalty equal to tax amount or higher as prescribed under GST law.","","","",""
"Why is E-Way Bill compliance important for businesses?","E-Way Bill ensures legal movement of goods, avoids detention, prevents penalties, and supports smooth GST compliance.","","","",""
"What is GST Annual Return?","GST Annual Return is a yearly return filed by registered taxpayers summarizing outward supplies, inward supplies, ITC claimed, and tax paid during the financial year.","","","",""
"Which form is used for GST Annual Return?","Form GSTR-9 is used for filing the annual return by regular taxpayers.","","","",""
"Who is required to file GSTR-9?","All regular GST registered taxpayers are required to file GSTR-9 unless exempted by notification.","","","",""
"Who is not required to file GSTR-9?","Composition taxpayers, ISD, non-resident taxable persons, and TDS/TCS deductors are not required to file GSTR-9.","","","",""
"What is the due date for filing GSTR-9?","GSTR-9 is generally due by 31st December following the end of the financial year, subject to extensions.","","","",""
"What is GSTR-9C?","GSTR-9C is a reconciliation statement between audited financial statements and GST returns, certified by a CA or CMA.","","","",""
"Who is required to file GSTR-9C?","Taxpayers whose turnover exceeds the prescribed threshold limit are required to file GSTR-9C, subject to current notifications.","","","",""
"What is the purpose of GSTR-9C?","The purpose is to reconcile turnover, tax paid, and ITC claimed as per GST returns with audited financial records.","","","",""
